Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
494,Ameren,AEE,Energy,Utilities: Gas and Electric,yes,no,no,yes,-14,no,no,no,9372,19711.1,"$7,213,000 ",-5.9,1152,7.3,40830,Martin J. Lyons Jr.,U.S.,St. Louis,Missouri,Public
495,Knight-Swift Transportation Hldgs.,KNX,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,-5,no,no,no,34550,8885.4,"$7,142 ",-3.9,217.1,-71.8,12870.8,Adam W. Miller,U.S.,Phoenix,Arizona,Public
496,Monster Beverage,MNST,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,60,no,no,no,5629,61688.9,"$7,140,000 ",13.1,1631,36.9,9686.5,Rodney C. Sacks/Hilton H. Schlosberg,U.S.,Corona,California,Public
497,Intuitive Surgical,ISRG,Health Care,Medical Products and Equipment,yes,no,no,yes,63,no,no,no,13676,141456.9,"$7,124 ",14.5,1798,36,15441.5,Gary S. Guthart,U.S.,Sunnyvale,California,Public
498,Super Micro Computer,SMCI,Technology,"Computers, Office Equipment",yes,yes,no,yes,138,no,no,no,5126,59137.7,"$7,124 ",37.1,640,124.4,3674.7,Charles Liang,U.S.,San Jose,California,Public
499,Concentrix,CNXC,Technology,Information Technology Services,yes,no,no,yes,54,no,no,no,440000,4342.2,"$7,115 ",12.5,313.8,-27.9,12491.8,Christopher A. Caldwell,U.S.,Newark,California,Public
500,O-I Glass,OI,Materials,"Packaging, Containers",no,no,no,no,19,no,no,no,23000,2549.4,"$7,105,000 ",3.6,-103,-117.6,9669,Gordon J. Hardie,U.S.,Perrysburg,Ohio,Public
501,Yum Brands,YUM,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,no,20,no,yes,no,25438,39007.3,"$7,076,000 ",3.4,1597,20.5,6231,David W. Gibbs,U.S.,Louisville,Kentucky,Public
502,Domtar,,Materials,Forest and Paper Products,yes,no,no,yes,166,no,no,no,13000,,"$7,059,000 ",49.2,288,-15,7531,Steven M. Henry,U.S.,Fort Mill,South Carolina,Private
503,CommScope Holding,COMM,Technology,Network and Other Communications Equipment,no,no,no,no,-88,no,no,no,20000,278,"$6,999 ",-24.2,-1450.9,,9371.9,Charles L. Treadway,U.S.,Claremont,South Carolina,Public
504,Post Holdings,POST,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,41,no,no,no,11430,6449.2,"$6,991,000 ",9.4,301.3,-60.2,11646.7,Robert V. Vitale,U.S.,St. Louis,Missouri,Public
505,Crown Castle,CCI,Financials,Real estate,yes,no,no,no,8,no,no,no,4700,45953,"$6,981,000 ",-0.1,1502,-10.3,38527,Steven J. Moskowitz,U.S.,Houston,Texas,Public
506,Avantor,AVTR,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,-21,no,no,no,14500,17366.5,"$6,967 ",-7.3,321.1,-53.2,12972.7,Michael Stubblefield,U.S.,Radnor,Pennsylvania,Public
507,KBR,KBR,Technology,Information Technology Services,no,no,no,yes,25,no,no,no,34000,8598.7,"$6,956,000 ",6,-265,-239.5,5565,Stuart J.B. Bradie,U.S.,Houston,Texas,Public
508,Opendoor Technologies,OPEN,Technology,Internet Services and Retailing,no,no,yes,no,-242,no,no,no,1982,2059.3,"$6,946,000 ",-55.4,-275,,3567,Carrie A. Wheeler,U.S.,Tempe,Arizona,Public
509,APi Group,APG,Engineering & Construction,Engineering & Construction,yes,no,no,yes,24,no,no,no,29000,9587.9,"$6,928,000 ",5.6,153,109.6,7590,Russell A. Becker,U.S.,New Brighton,Minnesota,Public
510,EQT,EQT,Energy,Energy,yes,no,no,yes,-23,no,no,no,881,16337.5,"$6,909 ",-7.9,1735.2,-2,25285.1,Toby Z. Rice,U.S.,Pittsburgh,Pennsylvania,Public
511,EnLink Midstream,ENLC,Energy,Pipelines,yes,no,no,no,-105,no,no,no,1072,6181.3,"$6,900 ",-27.7,206.2,-42.9,8328.6,Jesse Arenivas,U.S.,Dallas,Texas,Public
512,Palo Alto Networks,PANW,Technology,Network and Other Communications Equipment,yes,no,no,yes,92,no,no,no,13948,91802.4,"$6,893 ",25.3,439.7,,14501.1,Nikesh Arora,U.S.,Santa Clara,California,Public
513,Xerox Holdings,XRX,Technology,"Computers, Office Equipment",yes,no,no,no,-8,no,no,no,20100,2222.9,"$6,886,000 ",-3.1,1,,10008,Steven J. Bandrowczak,U.S.,Norwalk,Connecticut,Public
514,Ingersoll Rand,IR,Industrials,Industrial Machinery,yes,no,no,yes,64,no,no,no,18000,38306.2,"$6,876 ",16.1,778.7,28.8,15563.5,Vicente Reynal,U.S.,Davidson,North Carolina,Public
515,Dillard's,DDS,Retailing,General Merchandisers,yes,no,no,yes,-4,no,no,no,24900,7654.8,"$6,874 ",-1.7,738.8,-17.1,3448.9,William T. Dillard II,U.S.,Little Rock,Arkansas,Public
516,Martin Marietta Materials,MLM,Materials,"Building Materials, Glass",yes,no,no,no,23,no,no,no,9400,37955.3,"$6,871 ",6.2,1168.9,34.9,15124.9,C. Howard Nye,U.S.,Raleigh,North Carolina,Public
517,Vertiv Holdings,VRT,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,80,no,no,no,27000,31195.5,"$6,863 ",20.6,460.2,500.8,7998.5,Giordano Albertazzi,U.S.,Westerville,Ohio,Public
518,Moderna,MRNA,Health Care,Pharmaceuticals,no,no,no,yes,-307,no,yes,no,5600,40799.7,"$6,848,000 ",-64.5,-4714,-156.4,18426,St?phane Bancel,U.S.,Cambridge,Massachusetts,Public
519,Boise Cascade,BCC,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,-68,no,no,no,7300,6067.9,"$6,838 ",-18.5,483.7,-43.6,3458.6,Nathan R. Jorgensen,U.S.,Boise,Idaho,Public
520,Sprouts Farmers Market,SFM,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,21,no,no,no,32000,6526.1,"$6,837 ",6.8,258.9,-0.9,3327.4,Jack L. Sinclair,U.S.,Phoenix,Arizona,Public
521,Agilent Technologies,A,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,-1,no,no,no,18100,42642.5,"$6,833,000 ",-0.2,1240,-1.1,10763,Padraig McDonnell,U.S.,Santa Clara,California,Public
521,Olin,OLN,Chemicals,Chemicals,yes,no,no,no,-111,no,no,no,7326,7034.9,"$6,833,000 ",-27.1,460.2,-65.3,7713.2,Kenneth T. Lane,U.S.,Clayton,Missouri,Public
523,Darling Ingredients,DAR,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,12,no,no,no,15800,7431.3,"$6,788 ",3.9,647.7,-12.2,11061.1,Randall C. Stuewe,U.S.,Irving,Texas,Public
524,Sonoco Products,SON,Materials,"Packaging, Containers",yes,no,no,yes,-26,no,no,no,23000,5665.8,"$6,781 ",-6.5,475,1.8,7192,R. Howard Coker,U.S.,Hartsville,South Carolina,Public
525,CACI International,CACI,Technology,Information Technology Services,yes,no,no,yes,39,no,yes,no,23000,8442.3,"$6,703 ",8.1,384.7,4.9,6600.8,John S. Mengucci,U.S.,Reston,Virginia,Public
526,Core & Main,CNM,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,2,no,no,no,5000,11528.5,"$6,702,000 ",0.8,371,1.4,5069,Stephen O. LeClair,U.S.,St. Louis,Missouri,Public
527,Marathon Oil,MRO,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-63,no,no,no,1681,16195.7,"$6,697,000 ",-16.7,1554,-57,19575,Lee M. Tillman,U.S.,Houston,Texas,Public
528,Hyatt Hotels,H,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,54,no,yes,yes,51000,16425.1,"$6,667,000 ",13.2,220,-51.6,12833,Mark S. Hoplamazian,U.S.,Chicago,Illinois,Public
529,Select Medical Holdings,SEM,Health Care,Health Care: Medical Facilities,yes,no,no,yes,23,no,yes,no,46500,3870.1,"$6,664 ",5.2,243.5,53.1,7689.6,David S. Chernow,U.S.,Mechanicsburg,Pennsylvania,Public
530,McCormick,MKC,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,18,no,no,no,13800,20616.8,"$6,662 ",4.9,680.6,-0.2,12862.3,Brendan M. Foley,U.S.,Hunt Valley,Maryland,Public
531,Tapestry,TPR,Apparel,Apparel,yes,no,yes,yes,-4,no,yes,no,15550,10890.3,"$6,661 ",-0.4,936,9.3,7116.8,Joanne C. Crevoiserat,U.S.,New York,New York,Public
532,Coca-Cola Consolidated,COKE,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,33,no,yes,no,16000,7934,"$6,654 ",7.3,408.4,-5.1,4288.9,J. Frank Harrison III,U.S.,Charlotte,North Carolina,Public
533,Howmet Aerospace,HWM,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,66,no,no,no,23200,28077.1,"$6,640,000 ",17.3,765,63.1,10428,John C. Plant,U.S.,Pittsburgh,Pennsylvania,Public
534,Welltower,WELL,Financials,Real estate,yes,no,no,yes,49,no,yes,no,533,53156,"$6,638,000 ",13.3,340.1,140.8,44012.2,Shankh S. Mitra,U.S.,Toledo,Ohio,Public
535,CF Industries Holdings,CF,Chemicals,Chemicals,yes,no,no,yes,-170,no,no,no,2694,15620.7,"$6,632 ",-40.7,1525.2,-54.4,14376.2,W. Anthony Will,U.S.,Northbrook,Illinois,Public
536,Ametek,AME,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,yes,34,no,no,no,21500,42288.6,"$6,597,000 ",7.3,1313.2,13.3,15023.5,David A. Zapico,U.S.,Berwyn,Pennsylvania,Public
537,TransDigm Group,TDG,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,76,no,no,no,15500,68484.7,"$6,585,000 ",21.3,1298,49.9,19970,Kevin M. Stein,U.S.,Cleveland,Ohio,Public
538,Wynn Resorts,WYNN,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,240,no,yes,no,27800,11456.6,"$6,532 ",73.9,730,,13996.2,Craig S. Billings,U.S.,Las Vegas,Nevada,Public
539,Southwestern Energy,SWN,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-264,no,no,no,1165,8349.1,"$6,522,000 ",-56.5,1557,-15.8,11991,William J. Way,U.S.,Spring,Texas,Public
540,Amkor Technology,AMKR,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-32,no,no,no,28700,7927.6,"$6,503 ",-8.3,359.8,-53,6771.1,Guillaume Marie Jean Rutten,U.S.,Tempe,Arizona,Public
541,Insperity,NSP,Business Services,Diversified Outsourcing Services,yes,yes,no,yes,35,no,no,no,4400,4087.3,"$6,486 ",9.2,171.4,-4.4,2119.7,Paul J. Sarvadi,U.S.,Kingwood,Texas,Public
542,Patterson,PDCO,Health Care,Wholesalers: Health Care,yes,no,no,no,-6,no,no,no,7600,2477.2,"$6,472 ",-0.4,207.6,2.1,2879.1,Donald J. Zurbay,U.S.,St. Paul,Minnesota,Public
543,T. Rowe Price,TROW,Financials,Securities,yes,no,no,yes,-6,no,yes,no,7906,27266.7,"$6,461 ",-0.4,1788.7,14.8,12278.8,Robert W. Sharps,U.S.,Baltimore,Maryland,Public
544,Ralph Lauren,RL,Apparel,Apparel,yes,no,no,yes,17,no,yes,no,19100,12002.7,"$6,444 ",3.6,522.7,-12.9,6789.5,Patrice Louvet,U.S.,New York,New York,Public
545,KB Home,KBH,Engineering & Construction,Homebuilders,yes,no,no,no,-27,no,no,no,2205,5361.6,"$6,411 ",-7.1,590.2,-27.7,6648.4,Jeffrey T. Mezger,U.S.,Los Angeles,California,Public
546,Brunswick,BC,Transportation,Transportation Equipment,yes,no,no,no,-23,no,no,no,18104,6555.5,"$6,401 ",-6,420.4,-37.9,6230.5,David M. Foulkes,U.S.,Mettawa,Illinois,Public
547,Robert Half,RHI,Business Services,Temporary Help,yes,no,no,no,-47,no,yes,yes,15000,8340.9,"$6,393 ",-11.7,411.1,-37.5,3010.8,M. Keith Waddell,U.S.,Menlo Park,California,Public
548,PENN Entertainment,PENN,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",no,no,no,yes,-6,no,no,no,23333,2775.6,"$6,363 ",-0.6,-490,-320.6,16064.2,Jay A. Snowden,U.S.,Wyomissing,Pennsylvania,Public
549,NetApp,NTAP,Technology,"Computers, Office Equipment",yes,no,no,no,6,no,no,no,12000,21663.4,"$6,362,000 ",0.7,1274,36,9818,George Kurian,U.S.,San Jose,California,Public
550,Organon,OGN,Health Care,Pharmaceuticals,yes,no,no,no,18,no,no,no,10000,4806,"$6,263,000 ",1.4,1023,11.6,12058,Kevin Ali,U.S.,Jersey City,New Jersey,Public
551,Petco Health and Wellness,WOOF,Retailing,Specialty Retailers: Other,no,no,no,no,20,no,no,no,29000,698.3,"$6,255 ",3.6,-1280.2,-1509.9,5363.2,Joel D. Anderson,U.S.,San Diego,California,Public
552,Regal Rexnord,RRX,Industrials,"Electronics, Electrical Equip.",no,no,no,yes,79,no,no,no,32100,11977.1,"$6,251 ",19.8,-57.4,-111.7,15431.4,Louis V. Pinkham,U.S.,Milwaukee,Wisconsin,Public
553,Resideo Technologies,REZI,Materials,"Building Materials, Glass",yes,no,no,no,-7,no,no,no,14000,3258,"$6,242,000 ",-2,210,-25.8,6645,Jay L. Geldmacher,U.S.,Scottsdale,Arizona,Public
554,Camping World Holdings,CWH,Retailing,"Automotive Retailing, Services",yes,no,no,no,-38,no,no,no,12459,2354.4,"$6,227 ",-10.6,31,-77.3,4845.7,Marcus A. Lemonis,U.S.,Lincolnshire,Illinois,Public
555,Huntsman,HUN,Chemicals,Chemicals,yes,no,no,no,-122,no,no,no,6000,4503.1,"$6,199,000 ",-28.9,101,-78,7248,Peter R. Huntsman,U.S.,The Woodlands,Texas,Public
556,Victoria's Secret,VSCO,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-6,no,no,no,21500,1503.4,"$6,182 ",-2.6,109.2,-68.6,4600,Hillary Super,U.S.,Reynoldsburg,Ohio,Public
557,Levi Strauss,LEVI,Apparel,Apparel,yes,no,yes,yes,12,no,no,no,19100,7956.6,"$6,179,000 ",0.2,249.6,-56.1,6053.6,Michelle  Gass,U.S.,San Francisco,California,Public
558,Roper Technologies,ROP,Technology,Computer Software,yes,no,no,yes,49,no,no,no,16800,60022.4,"$6,178 ",12.9,1384.2,-69.5,28167.5,L. Neil Hunn,U.S.,Sarasota,Florida,Public
559,Academy Sports and Outdoors,ASO,Retailing,Specialty Retailers: Other,yes,no,no,yes,-15,no,no,no,16509,5025.3,"$6,159 ",-3.7,519.2,-17.3,4676.7,Steven P. Lawrence,U.S.,Katy,Texas,Public
560,Meritage Homes,MTH,Engineering & Construction,Homebuilders,yes,no,no,no,-3,no,no,no,1838,6346.3,"$6,138 ",-2.4,738.7,-25.5,6353.1,Phillippe Lord,U.S.,Scottsdale,Arizona,Public
561,American Axle & Manufacturing,AXL,Motor Vehicles & Parts,Motor Vehicles & Parts,no,no,no,no,27,no,no,no,19000,865.1,"$6,080 ",4.8,-33.6,-152.3,5356.3,David C. Dauch,U.S.,Detroit,Michigan,Public
562,Fortive,FTV,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,25,no,no,no,18000,30225.7,"$6,065 ",4.1,865.8,14.6,16911.8,James A. Lico,U.S.,Everett,Washington,Public
563,Nasdaq,NDAQ,Financials,Securities,yes,no,yes,yes,-4,no,no,no,8525,36295.5,"$6,064,000 ",-2.6,1059,-5.9,32294,Adena T. Friedman,U.S.,New York,New York,Public
564,Broadridge Financial Solutions,BR,Business Services,Financial Data Services,yes,no,no,yes,32,no,yes,no,14700,24126.8,"$6,061 ",6.2,630.6,17,8233.2,Timothy C. Gokey,U.S.,Lake Success,New York,Public
565,Spirit AeroSystems Holdings,SPR,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,80,no,no,no,20655,4192.2,"$6,048 ",20.2,-616.2,,6950.1,Patrick M. Shanahan,U.S.,Wichita,Kansas,Public
566,Warner Music Group,WMG,Media,Entertainment,yes,no,no,no,15,no,yes,no,5900,17100.4,"$6,037,000 ",2,430,-22,8545,Robert Kyncl,U.S.,New York,New York,Public
567,Chemours,CC,Chemicals,Chemicals,no,no,yes,no,-43,no,no,no,6200,3907.5,"$6,027,000 ",-11.3,-238,-141.2,8251,Denise  Dignam,U.S.,Wilmington,Delaware,Public
568,ADT,ADT,Business Services,Diversified Outsourcing Services,yes,no,no,no,-25,no,no,no,14300,6117.7,"$6,018 ",-5.9,463,249,15964.1,James D. DeVries,U.S.,Boca Raton,Florida,Public
569,Edwards Lifesciences,EW,Health Care,Medical Products and Equipment,yes,no,no,yes,48,no,no,no,19800,57520.1,"$6,005 ",11.6,1402.4,-7.9,9363.2,Bernard J. Zovighian,U.S.,Irvine,California,Public
570,First American Financial,FAF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-89,no,no,yes,19210,6294.3,"$6,004 ",-21.1,216.8,-17.6,16802.8,Kenneth D. DeGiorgio,U.S.,Santa Ana,California,Public
571,Hanover Insurance Group,THG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,37,no,no,no,4800,4892.5,"$5,994 ",9.6,35.3,-69.6,14612.6,John C. Roche,U.S.,Worcester,Massachusetts,Public
572,Silgan Holdings,SLGN,Materials,"Packaging, Containers",yes,no,no,no,-32,no,no,no,14400,5185,"$5,988 ",-6.6,326,-4.4,7611.2,Adam J. Greenlee,U.S.,Stamford,Connecticut,Public
573,Endeavor Group Holdings,EDR,Media,Entertainment,yes,yes,no,no,53,no,no,no,10000,17817.4,"$5,960 ",13.1,356.5,176.1,21544.8,Ariel Emanuel,U.S.,Beverly Hills,California,Public
574,Moody's,MCO,Business Services,Financial Data Services,yes,no,no,yes,36,no,yes,no,15151,71752.2,"$5,916,000 ",8.2,1607,17,14622,Robert S. Fauber,U.S.,New York,New York,Public
575,Coterra Energy,CTRA,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-155,no,no,no,1083,20946,"$5,914,000 ",-34.7,1625,-60,20415,Thomas E. Jorden,U.S.,Houston,Texas,Public
576,Gartner,IT,Technology,Information Technology Services,yes,no,no,yes,30,no,yes,no,20237,37165,"$5,907,000 ",7.9,882.5,9.2,7835.9,Eugene A. Hall,U.S.,Stamford,Connecticut,Public
577,Under Armour,UAA,Apparel,Apparel,yes,yes,no,no,17,no,no,no,11078,3157.4,"$5,904 ",3.1,386.8,73.7,4857.1,Kevin A. Plank,U.S.,Baltimore,Maryland,Public
578,Ingles Markets,IMKTA,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,20,no,no,no,19540,1456.5,"$5,893 ",3.8,210.8,-22.7,2473.8,James W. Lanning,U.S.,Black Mountain,North Carolina,Public
579,Church & Dwight,CHD,Household Products,Household and Personal Products,yes,no,no,yes,39,no,no,no,5550,25441.7,"$5,868 ",9.2,755.6,82.6,8569.2,Matthew T. Farrell,U.S.,Ewing,New Jersey,Public
580,Old Dominion Freight Line,ODFL,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-22,no,no,no,22902,47738.1,"$5,866 ",-6.3,1239.5,-10,5512.4,Kevin M. Freeman,U.S.,Thomasville,North Carolina,Public
581,U-Haul Holding,UHAL,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,12,no,no,no,26501,13091.3,"$5,865 ",2.2,923,-17.8,18124.6,Edward J. Shoen,U.S.,Reno,Nevada,Public
582,Oscar Health,OSCR,Health Care,Health Care: Insurance and Managed Care,no,no,no,no,164,no,no,no,2400,3416,"$5,863 ",47.9,-270.7,,3601.5,Mark T. Bertolini,U.S.,New York,New York,Public
583,Arista Networks,ANET,Technology,Network and Other Communications Equipment,yes,no,yes,yes,126,no,no,no,4023,90657.5,"$5,860 ",33.8,2087.3,54.3,9946.8,Jayshree V. Ullal,U.S.,Santa Clara,California,Public
584,Synopsys,SNPS,Technology,Computer Software,yes,no,no,yes,58,no,no,no,20300,87178.7,"$5,843 ",15,1229.9,24.9,10333.1,Sassine Ghazi,U.S.,Sunnyvale,California,Public
585,Harley-Davidson,HOG,Transportation,Transportation Equipment,yes,no,no,yes,7,no,no,no,6400,5973.3,"$5,837 ",1.4,706.6,-4.7,12140.6,Jochen Zeitz,U.S.,Milwaukee,Wisconsin,Public
586,Frontier Communications,FYBR,Telecommunications,Telecommunications,yes,no,no,no,4,no,no,no,13297,6022.6,"$5,751,000 ",-0.6,29,-93.4,20693,Nick Jeffery,U.S.,Dallas,Texas,Public
587,Primoris Services,PRIM,Engineering & Construction,Engineering & Construction,yes,no,no,yes,114,no,no,no,14058,2282.6,"$5,715 ",29.3,126.1,-5.2,3827.4,Thomas E. McCormick,U.S.,Dallas,Texas,Public
588,Carlisle,CSL,Materials,"Building Materials, Glass",yes,no,no,no,-58,no,no,no,11100,18732,"$5,700 ",-13.5,767.4,-16.9,6620,D. Christian Koch,U.S.,Scottsdale,Arizona,Public
589,Simon Property Group,SPG,Financials,Real estate,yes,no,no,no,35,no,yes,no,2750,50980.3,"$5,659 ",6.9,2283.1,6.7,34283.5,David E. Simon,U.S.,Indianapolis,Indiana,Public
590,Hanesbrands,HBI,Apparel,Apparel,no,no,no,no,-39,no,no,no,47520,2039,"$5,637 ",-11,-17.7,,5640.3,Stephen B. Bratspies,U.S.,Winston-Salem,North Carolina,Public
591,Anywhere Real Estate,HOUS,Financials,Real estate,no,no,no,no,-74,no,no,no,8028,686.5,"$5,636,000 ",-18.4,-97,,5839,Ryan M. Schneider,U.S.,Madison,New Jersey,Public
592,Teledyne Technologies,TDY,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,19,no,no,no,14900,20341.7,"$5,636 ",3.2,885.7,12.3,14527.9,Edwin Roks,U.S.,Thousand Oaks,California,Public
593,CME Group,CME,Financials,Securities,yes,no,no,yes,53,no,no,no,3565,77510.5,"$5,579 ",11.1,3226.2,19.9,129706.1,Terrence A. Duffy,U.S.,Chicago,Illinois,Public
594,Juniper Networks,JNPR,Technology,Network and Other Communications Equipment,yes,no,no,yes,29,no,no,no,11144,12021.6,"$5,565 ",5,310.2,-34.1,9518.5,Rami Rahim,U.S.,Sunnyvale,California,Public
595,Coty,COTY,Household Products,Household and Personal Products,yes,no,yes,yes,27,no,no,no,11350,10706.2,"$5,554 ",4.7,508.2,95.8,12661.6,Sue Y. Nabi,U.S.,New York,New York,Public
596,Pool,POOL,Wholesalers,Wholesalers: Diversified,yes,no,no,no,-30,no,no,no,6100,15528.9,"$5,542 ",-10.3,523.2,-30.1,3428.1,Peter D. Arvan,U.S.,Covington,Louisiana,Public
597,Evergy,EVRG,Energy,Utilities: Gas and Electric,yes,no,no,yes,-13,no,no,no,4658,12263.8,"$5,508 ",-6,731.3,-2.8,30976.1,David A. Campbell,U.S.,Kansas City,Missouri,Public
598,Marvell Technology,MRVL,Technology,Semiconductors and Other Electronic Components,no,no,no,no,-18,no,no,no,6544,61382.1,"$5,508 ",-7,-933.4,,21228.5,Matthew J. Murphy,U.S.,Wilmington,Delaware,Public
599,NiSource,NI,Energy,Utilities: Gas and Electric,yes,no,no,yes,-13,no,no,no,7388,12378.5,"$5,505 ",-5.9,714.3,-11.2,31077.2,Lloyd M. Yates,U.S.,Merrillville,Indiana,Public
600,SS&C Technologies Holdings,SSNC,Technology,Computer Software,yes,yes,no,no,25,no,no,no,26600,15907.2,"$5,503 ",4.2,607.1,-6.6,18102.5,William C. Stone,U.S.,Windsor,Connecticut,Public
601,Schneider National,SNDR,Transportation,Transportation and Logistics,yes,no,no,yes,-72,no,no,no,17300,3992.5,"$5,499 ",-16.7,238.5,-47.9,4557.2,Mark B. Rourke,U.S.,Green Bay,Wisconsin,Public
602,Autodesk,ADSK,Technology,Computer Software,yes,no,no,no,46,no,no,no,13700,55707.8,"$5,497,000 ",9.8,906,10.1,9912,Andrew Anagnost,U.S.,San Francisco,California,Public
603,Sealed Air,SEE,Materials,"Packaging, Containers",yes,no,no,yes,-3,no,no,no,17000,5375.2,"$5,489 ",-2.7,341.6,-30.5,7200.6,Patrick Kivits,U.S.,Charlotte,North Carolina,Public
604,Iron Mountain,IRM,Business Services,Diversified Outsourcing Services,yes,no,no,yes,37,no,no,no,27000,23443.4,"$5,480 ",7.4,184.2,-66.9,17473.8,William L. Meaney,U.S.,Portsmouth,New Hampshire,Public
605,Digital Realty Trust,DLR,Financials,Real estate,yes,no,no,yes,68,no,no,no,3664,44982.8,"$5,477 ",16.7,948.8,151.2,44113.3,Andrew P. Power,U.S.,Austin,Texas,Public
606,Keysight Technologies,KEYS,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,8,no,no,no,14900,27297,"$5,464,000 ",0.8,1057,-6,8683,Satish Dhanasekaran,U.S.,Santa Rosa,California,Public
607,Globe Life,GL,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,25,no,no,no,3636,10943.1,"$5,448 ",4.5,970.8,31.2,28051.5,Frank M. Svoboda,U.S.,McKinney,Texas,Public
608,Parsons,PSN,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,115,no,no,no,18500,8778.6,"$5,443 ",29.7,161.1,66.7,4804.1,Carey A. Smith,U.S.,Chantilly,Virginia,Public
609,Mattel,MAT,Household Products,"Toys, Sporting Goods",yes,no,no,no,3,no,no,no,33000,6814.6,"$5,441 ",0.1,214.4,-45.6,6435.8,Ynon Kreiz,U.S.,El Segundo,California,Public
610,Southwest Gas Holdings,SWX,Energy,Utilities: Gas and Electric,yes,no,yes,yes,43,no,no,no,14943,5453.5,"$5,434,000 ",9.6,150.9,,11869.9,Karen S. Haller,U.S.,Las Vegas,Nevada,Public
611,CUNA Mutual Group (TruStage),,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,24,no,no,no,4100,,"$5,426 ",4.3,139.7,-59.3,44970.3,Terrance  Williams,U.S.,Madison,Wisconsin,Private
612,Clean Harbors,CLH,Business Services,Waste Management,yes,no,no,yes,25,no,no,no,21280,10858.8,"$5,409 ",4.7,377.9,-8.2,6382.9,Eric W. Gerstenberg,U.S.,Norwell,Massachusetts,Public
613,Cornerstone Building Brands,,Materials,"Building Materials, Glass",no,no,yes,no,-75,no,no,no,17600,,"$5,402 ",-16.6,-75.5,-118,6933.3,Rose Lee,U.S.,Cary,North Carolina,Private
614,Hubbell,HUBB,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,37,no,no,no,18317,22281,"$5,373 ",8,759.8,39.2,6914,Gerben W. Bakker,U.S.,Shelton,Connecticut,Public
615,Spirit Airlines,SAVE,Transportation,Airlines,no,no,no,yes,28,no,no,no,13167,529.9,"$5,363 ",5.8,-447.5,,9417.2,Edward M. Christie III,U.S.,Miramar,Florida,Public
616,Lamb Weston Holdings,LW,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,117,no,no,no,10300,15380,"$5,351 ",30.5,1008.9,402.2,6519.8,Thomas P. Werner,U.S.,Eagle,Idaho,Public
617,Take-Two Interactive Software,TTWO,Media,Entertainment,no,no,no,yes,201,no,no,no,11580,25330.4,"$5,350 ",52.6,-1124.7,-369.1,15862.1,Strauss H. Zelnick,U.S.,New York,New York,Public
618,GMS,GMS,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,60,no,no,no,7007,3877.4,"$5,329 ",15,333,21.8,3267,John C. Turner Jr.,U.S.,Tucker,Georgia,Public
619,Penn Mutual Life Insurance,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,70,no,no,no,3370,,"$5,319 ",16.4,201,12,46740.7,David M. O'Malley,U.S.,Horsham,Pennsylvania,Private
