Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
379,Dana,DAN,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,8,no,no,no,41800,1840.9,"$10,555,000 ",3.9,38,,7965,James K. Kamsickas,U.S.,Maumee,Ohio,Public
380,Alcoa,AA,Materials,Metals,no,no,no,yes,-49,no,no,no,13600,6067.3,"$10,551,000 ",-15.3,-651,,14155,William F. Oplinger,U.S.,Pittsburgh,Pennsylvania,Public
381,Equitable Holdings,EQH,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-83,no,no,no,10700,12532.3,"$10,528,000 ",-24.9,1302,-27.1,276814,Mark Pearson,U.S.,New York,New York,Public
382,KLA,KLAC,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,34,no,no,no,15105,94470.2,"$10,496 ",13.9,3387.3,2,14072.4,Richard P. Wallace,U.S.,Milpitas,California,Public
383,Darden Restaurants,DRI,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,19,no,no,no,187384,19959.5,"$10,488 ",8.9,981.9,3.1,10241.5,Ricardo Cardenas,U.S.,Orlando,Florida,Public
384,Autoliv,ALV,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,45,no,no,no,66434,9809.7,"$10,475,000 ",18.5,488,15.4,8332,Mikael Bratt,U.S.,Auburn Hills,Michigan,Public
385,Alaska Air Group,ALK,Transportation,Airlines,yes,no,no,yes,13,no,no,no,24610,5408.1,"$10,426,000 ",8.1,235,305.2,14613,Benito Minicucci,U.S.,Seattle,Washington,Public
386,KeyCorp,KEY,Financials,Commercial Banks,yes,no,no,yes,73,no,no,no,17692,14663.3,"$10,397,000 ",27.9,967,-49.6,188281,Christopher M. Gorman,U.S.,Cleveland,Ohio,Public
387,Las Vegas Sands,LVS,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,326,no,yes,no,38550,38840.4,"$10,372,000 ",139.1,1221,-33.4,21778,Robert G. Goldstein,U.S.,Las Vegas,Nevada,Public
388,Owens & Minor,OMI,Health Care,Wholesalers: Health Care,no,no,no,no,2,no,no,no,22200,2122.5,"$10,334,000 ",3.8,-41.3,-284.5,5093.3,Edward A. Pesicka,U.S.,Mechanicsville,Virginia,Public
